source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0006270,DNA replication initiation,3.846663752837242e-07,True,"""The process in which DNA-dependent DNA replication is started; it begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, followed by DNA unwinding."" [PMID:28209641]",20,33,5,13630,0.15151515151515152,0.25,query_1,"['GO:0006259', 'GO:0006261']"
GO:BP,GO:0006260,DNA replication,3.7909163056509365e-06,True,"""The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."" [GOC:mah]",115,33,7,13630,0.21212121212121213,0.06086956521739131,query_1,['GO:0006259']
GO:BP,GO:0006261,DNA-templated DNA replication,9.36710116083271e-06,True,"""A DNA replication process that uses parental DNA as a template for the DNA-dependent DNA polymerases that synthesize the new strands."" [GOC:mah, ISBN:0198506732]",75,33,6,13630,0.18181818181818182,0.08,query_1,['GO:0006260']
GO:CC,GO:0043601,nuclear replisome,0.0004482907675764461,True,"""A multi-component enzymatic machine at the nuclear replication fork, which mediates DNA replication. Includes DNA primase, one or more DNA polymerases, DNA helicases, and other proteins."" [GOC:jl, GOC:mtg_sensu]",12,28,3,9569,0.10714285714285714,0.25,query_1,"['GO:0030894', 'GO:0043596', 'GO:0140513']"
GO:CC,GO:0030894,replisome,0.0005816362047169363,True,"""A multi-component enzymatic machine at the replication fork which mediates DNA replication. Includes DNA primase, one or more DNA polymerases, DNA helicases, and other proteins."" [GOC:mah, GOC:vw]",13,28,3,9569,0.10714285714285714,0.23076923076923078,query_1,"['GO:0005657', 'GO:0032993']"
GO:BP,GO:0006259,DNA metabolic process,0.0013026056269367045,True,"""Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."" [ISBN:0198506732]",390,33,8,13630,0.24242424242424243,0.020512820512820513,query_1,['GO:0090304']
GO:CC,GO:0005658,alpha DNA polymerase:primase complex,0.002285285725696707,True,"""A complex of four polypeptides, comprising large and small DNA polymerase alpha subunits and two primase subunits, which are capable of catalyzing the synthesis of an RNA primer on the lagging strand of replicating DNA and the subsequent synthesis of a small stretch of DNA. The smaller of the two primase subunits alone can catalyze oligoribonucleotide synthesis."" [GOC:mah, PMID:11395402, PMID:26975377]",3,28,2,9569,0.07142857142857142,0.6666666666666666,query_1,"['GO:0042575', 'GO:0043601', 'GO:0055029']"
GO:CC,GO:0043596,nuclear replication fork,0.0022868064069551334,True,"""The Y-shaped region of a nuclear replicating DNA molecule, resulting from the separation of the DNA strands and in which the synthesis of new strands takes place. Also includes associated protein complexes."" [GOC:jl, GOC:mtg_sensu]",20,28,3,9569,0.10714285714285714,0.15,query_1,"['GO:0000228', 'GO:0005657']"
GO:CC,GO:0000228,nuclear chromosome,0.0028676550260604604,True,"""A chromosome that encodes the nuclear genome and is found in the nucleus of a eukaryotic cell during the cell cycle phases when the nucleus is intact."" [GOC:dph, GOC:mah]",63,28,4,9569,0.14285714285714285,0.06349206349206349,query_1,"['GO:0005694', 'GO:0031981']"
GO:CC,GO:0005657,replication fork,0.008824524967488177,True,"""The Y-shaped region of a replicating DNA molecule, resulting from the separation of the DNA strands and in which the synthesis of new strands takes place. Also includes associated protein complexes."" [GOC:mah, ISBN:0198547684]",31,28,3,9569,0.10714285714285714,0.0967741935483871,query_1,"['GO:0005694', 'GO:0110165']"
GO:MF,GO:0003688,DNA replication origin binding,0.03226002887346808,True,"""Binding to a DNA replication origin, a unique DNA sequence of a replicon at which DNA replication is initiated and proceeds bidirectionally or unidirectionally."" [GOC:curators]",8,44,2,17687,0.045454545454545456,0.25,query_1,['GO:1990837']
GO:CC,GO:0140513,nuclear protein-containing complex,0.04481540765035001,True,"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together in the nucleus."" [GOC:pg]",504,28,7,9569,0.25,0.013888888888888888,query_1,"['GO:0005634', 'GO:0032991']"
