source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0071407,cellular response to organic cyclic compound,0.005730302928988446,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic cyclic compound stimulus."" [GOC:mah]",57,35,4,13630,0.11428571428571428,0.07017543859649122,query_1,"['GO:0014070', 'GO:0070887']"
GO:MF,GO:0140096,"catalytic activity, acting on a protein",0.013623407799402203,True,"""Catalytic activity that acts to modify a protein."" [GOC:molecular_function_refactoring, GOC:pdt]",2575,36,15,17687,0.4166666666666667,0.005825242718446602,query_1,['GO:0003824']
GO:BP,GO:0014070,response to organic cyclic compound,0.015336417068990483,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic cyclic compound stimulus."" [GOC:ef]",73,35,4,13630,0.11428571428571428,0.0547945205479452,query_1,['GO:0042221']
GO:BP,GO:0009742,brassinosteroid mediated signaling pathway,0.016986782491118367,True,"""The series of molecular signals mediated by the detection of brassinosteroid."" [GOC:sm]",26,35,3,13630,0.08571428571428572,0.11538461538461539,query_1,"['GO:0043401', 'GO:0071367']"
GO:BP,GO:0043401,steroid hormone receptor signaling pathway,0.016986782491118367,True,"""The series of molecular signals mediated by a steroid hormone binding to a receptor."" [PMID:12606724]",26,35,3,13630,0.08571428571428572,0.11538461538461539,query_1,"['GO:0009755', 'GO:0071383']"
GO:BP,GO:0048545,response to steroid hormone,0.016986782491118367,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a steroid hormone stimulus."" [GOC:go_curators]",26,35,3,13630,0.08571428571428572,0.11538461538461539,query_1,"['GO:0009725', 'GO:0014070', 'GO:0033993']"
GO:BP,GO:0071367,cellular response to brassinosteroid stimulus,0.016986782491118367,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a brassinosteroid stimulus."" [GOC:mah]",26,35,3,13630,0.08571428571428572,0.11538461538461539,query_1,"['GO:0009741', 'GO:0032870', 'GO:0071396', 'GO:0071407', 'GO:1901701']"
GO:BP,GO:0071383,cellular response to steroid hormone stimulus,0.016986782491118367,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a steroid hormone stimulus."" [GOC:mah]",26,35,3,13630,0.08571428571428572,0.11538461538461539,query_1,"['GO:0032870', 'GO:0048545', 'GO:0071396', 'GO:0071407']"
GO:BP,GO:0009741,response to brassinosteroid,0.02132812649720179,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a brassinosteroid stimulus."" [GOC:jl]",28,35,3,13630,0.08571428571428572,0.10714285714285714,query_1,"['GO:0009725', 'GO:0014070', 'GO:0033993', 'GO:1901700']"
GO:MF,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",0.0348254245426102,True,"""Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to an alcohol group (acceptor)."" [EC:2.7.1.-]",1292,36,10,17687,0.2777777777777778,0.007739938080495356,query_1,['GO:0016772']
GO:MF,GO:0016740,transferase activity,0.03957840965596295,True,"""Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."" [EC:2.-.-.-]",3529,36,17,17687,0.4722222222222222,0.004817228676678946,query_1,['GO:0003824']
